manifest,source_type,plant_name,asset_path,image_url,source_page_url,license_label,license_url,creator,rights_holder,attribution_text,publisher,occurrence_key,dataset_key
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4852634622__5b8c676f896db83d__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/374954901/original.jpeg,https://www.inaturalist.org/photos/374954901,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,E. Borchert,E. Borchert,Photo: E. Borchert | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/374954901 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852634622,,4852634622,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4133962435__7f3c4b5c0dc4d05b__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/288919270/original.jpg,https://www.inaturalist.org/photos/288919270,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Stephan Mende,Stephan Mende,Photo: Stephan Mende | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/288919270 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4133962435,,4133962435,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4868062637__9b17b9ecbdea9821__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/383521385/original.jpeg,https://www.inaturalist.org/photos/383521385,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,ahabo,ahabo,Photo: ahabo | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/383521385 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4868062637,,4868062637,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4510281900__0f6f4916b980892a__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/284102022/original.jpeg,https://www.inaturalist.org/photos/284102022,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,ahabo,ahabo,Photo: ahabo | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/284102022 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4510281900,,4510281900,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4062867127__33a0ad211ea5b7fd__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/260287291/original.jpg,https://www.inaturalist.org/photos/260287291,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Katrin Simon,Katrin Simon,Photo: Katrin Simon | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/260287291 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4062867127,,4062867127,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4908276364__d08f42f3e803a2c1__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/401229459/original.jpeg,https://www.inaturalist.org/photos/401229459,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/401229459 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4908276364,,4908276364,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4882158998__1a6369df676c2c96__cc-by-sa-4.0.jpg,https://observation.org/photos/82221776.jpg,,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,yxcvb,yxcvb,Photo: yxcvb | License: CC BY-SA 4.0 | Source: https://observation.org/photos/82221776.jpg | GBIF dataset: 8a863029-f435-446a-821e-275f4f641165 | Occurrence: 4882158998,,4882158998,8a863029-f435-446a-821e-275f4f641165
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4980438437__fb29e2a7c01cb863__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/373295864/original.jpeg,https://www.inaturalist.org/photos/373295864,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,E. Borchert,E. Borchert,Photo: E. Borchert | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/373295864 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4980438437,,4980438437,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4852634622__48d5a3acb2ca15ab__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/374954968/original.jpeg,https://www.inaturalist.org/photos/374954968,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,E. Borchert,E. Borchert,Photo: E. Borchert | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/374954968 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852634622,,4852634622,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4903733771__294b09ba4ad8c770__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/400664450/original.jpeg,https://www.inaturalist.org/photos/400664450,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,bernhard_hiller,bernhard_hiller,Photo: bernhard_hiller | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/400664450 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4903733771,,4903733771,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4908276364__51eaf5705e0b2c79__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/401229527/original.jpeg,https://www.inaturalist.org/photos/401229527,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/401229527 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4908276364,,4908276364,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4882158998__24318a657b982ccc__cc-by-sa-4.0.jpg,https://observation.org/photos/82221778.jpg,,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,yxcvb,yxcvb,Photo: yxcvb | License: CC BY-SA 4.0 | Source: https://observation.org/photos/82221778.jpg | GBIF dataset: 8a863029-f435-446a-821e-275f4f641165 | Occurrence: 4882158998,,4882158998,8a863029-f435-446a-821e-275f4f641165
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4868169859__3e213f72fa3cd39f__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/382600311/original.jpg,https://www.inaturalist.org/photos/382600311,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,arthur_haendler,arthur_haendler,Photo: arthur_haendler | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/382600311 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4868169859,,4868169859,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4994377159__b638ca5f040bbe9a__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/383519884/original.jpg,https://www.inaturalist.org/photos/383519884,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Wolfgang Ahlmer,Wolfgang Ahlmer,Photo: Wolfgang Ahlmer | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/383519884 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4994377159,,4994377159,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4408324911__fd6584cf58f63b2a__cc-by-sa-4.0.jpg,https://observation.org/photos/66929949.jpg,,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,Björn Sothmann,Björn Sothmann,Photo: Björn Sothmann | License: CC BY-SA 4.0 | Source: https://observation.org/photos/66929949.jpg | GBIF dataset: 8a863029-f435-446a-821e-275f4f641165 | Occurrence: 4408324911,,4408324911,8a863029-f435-446a-821e-275f4f641165
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4607067728__99d8ae2dfb183a1b__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/361546017/original.jpeg,https://www.inaturalist.org/photos/361546017,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Markus Krieger,Markus Krieger,Photo: Markus Krieger | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/361546017 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4607067728,,4607067728,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4908276364__19cd4731072594ce__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/401229628/original.jpeg,https://www.inaturalist.org/photos/401229628,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/401229628 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4908276364,,4908276364,50c9509d-22c7-4a22-a47d-8c48425ef4a7
